_phrase_,type,grammar_symbol,value
"('Kakao',)",tänav,TÄNAV,whatevs
"('Kaksikhaava',)",tänav,TÄNAV,whatevs
"('Kakuami',)",tänav,TÄNAV,whatevs
"('Kala',)",tänav,TÄNAV,whatevs
"('Kaladi',)",tänav,TÄNAV,whatevs
"('Kalevala',)",tänav,TÄNAV,whatevs
"('Kalevi',)",tänav,TÄNAV,whatevs
"('Kalevipoja',)",tänav,TÄNAV,whatevs
"('Mihhail', 'Kalinini')",tänav,TÄNAV,whatevs
"('Kalinini',)",tänav,TÄNAV,whatevs
"('Kaljase',)",tänav,TÄNAV,whatevs
"('Kalju',)",tänav,TÄNAV,whatevs
"('Kallaku',)",tänav,TÄNAV,whatevs
"('Kallasmaa',)",tänav,TÄNAV,whatevs
"('Kallaste',)",tänav,TÄNAV,whatevs
"('Kalle',)",tänav,TÄNAV,whatevs
"('Kalmistu',)",tänav,TÄNAV,whatevs
"('Kalmu',)",tänav,TÄNAV,whatevs
"('Kalmuse',)",tänav,TÄNAV,whatevs
"('Kaluri',)",tänav,TÄNAV,whatevs
"('Kalurite',)",tänav,TÄNAV,whatevs
"('Kalvi',)",tänav,TÄNAV,whatevs
"('Kammelja',)",tänav,TÄNAV,whatevs
"('Paul', 'Kammi')",tänav,TÄNAV,whatevs
"('Kammi',)",tänav,TÄNAV,whatevs
"('Kampri',)",tänav,TÄNAV,whatevs
"('Kana',)",tänav,TÄNAV,whatevs
"('Kanali',)",tänav,TÄNAV,whatevs
"('Kanarbiku',)",tänav,TÄNAV,whatevs
"('Kanariku',)",tänav,TÄNAV,whatevs
"('Kandle',)",tänav,TÄNAV,whatevs
"('Kanepi',)",tänav,TÄNAV,whatevs
"('Kangilaski',)",tänav,TÄNAV,whatevs
"('Kangro',)",tänav,TÄNAV,whatevs
"('Kangru',)",tänav,TÄNAV,whatevs
"('Kangrumäe',)",tänav,TÄNAV,whatevs
"('Kangruvälja',)",tänav,TÄNAV,whatevs
"('Hans', 'Kanni')",tänav,TÄNAV,whatevs
"('Kanni',)",tänav,TÄNAV,whatevs
"('Kannikese',)",tänav,TÄNAV,whatevs
"('Kannikmäe',)",tänav,TÄNAV,whatevs
"('Kannustiiva',)",tänav,TÄNAV,whatevs
