_phrase_,type,grammar_symbol
"('Audru',)",talu,TALU
"('Audru', 'ms')",talu,TALU
"('Auduma', 't-d')",talu,TALU
"('Auduma',)",talu,TALU
"('Augu', 'saun')",talu,TALU
"('Augu',)",talu,TALU
"('Augu', 't')",talu,TALU
"('Aukamäe', 't')",talu,TALU
"('Aukamäe',)",talu,TALU
"('Aukamäe', 't?')",talu,TALU
"('Aukemäe', 't')",talu,TALU
"('Aukemäe',)",talu,TALU
"('Aukmurru', 't')",talu,TALU
"('Aukmurru',)",talu,TALU
"('Aula', 'krvms')",talu,TALU
"('Aula',)",talu,TALU
"('Aulepa', 'ms')",talu,TALU
"('Aulepa',)",talu,TALU
"('Auru', 't')",talu,TALU
"('Auru',)",talu,TALU
"('Ausa', 't')",talu,TALU
"('Ausa',)",talu,TALU
"('Auta,', 'krvms')",talu,TALU
"('Auta,',)",talu,TALU
"('Auvere', 'ms')",talu,TALU
"('Auvere',)",talu,TALU
"('Auvere-Uuemõisa', 'ms')",talu,TALU
"('Auvere-Uuemõisa',)",talu,TALU
"('Avanduse', 'ms')",talu,TALU
"('Avanduse',)",talu,TALU
"('Avinurme', 'ms')",talu,TALU
"('Avinurme',)",talu,TALU
"('Beckhof,', 'krjms')",talu,TALU
"('Beckhof,',)",talu,TALU
"('Beeta', 't')",talu,TALU
"('Beeta',)",talu,TALU
"('Birkenhof',)",talu,TALU
"('Blankenthal',)",talu,TALU
"('Boju,', 't')",talu,TALU
"('Boju,',)",talu,TALU
"('Boose', 'krvms')",talu,TALU
"('Boose',)",talu,TALU
"('Borodino', 'krjms')",talu,TALU
"('Borodino',)",talu,TALU
"('Breinthal,', 'krjms')",talu,TALU
"('Breinthal,',)",talu,TALU
"('Bristoli', 't')",talu,TALU
"('Bristoli',)",talu,TALU
"('Brunneck',)",talu,TALU
"('Burchardt',)",talu,TALU
"('Burmani', 'maja')",talu,TALU
"('Burmani',)",talu,TALU
"('Buxhoevdeni', 'maja')",talu,TALU
"('Buxhoevdeni',)",talu,TALU
"('Campenhauseni', 'maja')",talu,TALU
"('Campenhauseni',)",talu,TALU
"('Cederhilm',)",talu,TALU
"('Charlottenthal',)",talu,TALU
"('Christinenhof,', 'krjms')",talu,TALU
"('Christinenhof,',)",talu,TALU
"('City', 'Plaza,', 'büroohoone')",talu,TALU
"('City', 'Plaza,')",talu,TALU
"('Plaza,',)",talu,TALU
"('Clementinenthal',)",talu,TALU
"('Delta', 'Plaza')",talu,TALU
"('Plaza',)",talu,TALU
"('Demini', 'maja')",talu,TALU
"('Demini',)",talu,TALU
"('Didrichsberg,', 'krjms')",talu,TALU
"('Didrichsberg,',)",talu,TALU
"('Dubniku', 'krvms')",talu,TALU
"('Dubniku',)",talu,TALU
"('Duborg',)",talu,TALU
"('Ebavere', 'krjms')",talu,TALU
